order_id,customer_id,order_date
192,159,11/9/2019
193,149,8/14/2019
194,138,8/27/2019
195,61,4/1/2019
196,3,4/7/2019
197,79,8/20/2019
198,117,3/3/2019
199,195,11/19/2019
200,141,1/23/2020
201,185,7/24/2019
202,114,8/20/2019
203,42,11/16/2019
204,169,10/17/2019
205,186,4/2/2019
206,10,12/16/2019
207,84,6/13/2019
208,180,8/29/2019
209,145,10/5/2019
210,50,9/21/2019
211,44,10/15/2019
212,118,12/9/2019
213,55,3/30/2019
214,59,4/14/2019
215,74,7/7/2019
216,12,9/3/2019
217,195,4/26/2019
218,137,6/2/2019
219,179,6/25/2019
220,99,9/26/2019
221,137,5/22/2019
222,94,10/12/2019
223,141,8/28/2019
224,195,12/17/2019
225,42,12/26/2019
226,12,9/25/2019
227,31,1/4/2020
228,106,2/10/2019
229,166,6/25/2019
230,111,6/11/2019
231,109,7/10/2019
232,108,7/29/2019
233,182,10/4/2019
234,111,12/3/2019
235,181,8/30/2019
236,150,8/23/2019
237,66,10/24/2019
238,57,2/26/2019
239,80,9/10/2019
240,59,3/12/2019
241,184,10/7/2019
242,1,2/25/2019
243,53,2/13/2019
244,39,2/19/2019
245,192,8/11/2019
246,22,11/28/2019
247,128,9/1/2019
248,129,5/27/2019
249,109,5/8/2019
250,163,8/4/2019
251,170,3/9/2019
252,6,6/15/2019
253,135,8/23/2019
254,170,4/7/2019
255,123,7/15/2019
256,19,12/21/2019
257,107,3/10/2019
258,107,6/9/2019
259,113,9/10/2019
260,162,9/28/2019
261,24,5/6/2019
262,132,8/1/2019
263,41,8/20/2019
264,140,3/4/2019
265,197,7/6/2019
266,80,7/15/2019
267,155,2/12/2019
268,49,10/24/2019
269,142,6/24/2019
270,63,12/30/2019
271,3,7/11/2019
272,192,1/11/2020
273,116,10/1/2019
274,185,3/3/2019
275,33,5/21/2019
276,192,1/7/2020
277,4,7/24/2019
278,10,5/28/2019
279,93,3/13/2019
280,31,11/20/2019
281,123,1/30/2020
282,20,6/30/2019
283,176,12/7/2019
284,72,7/3/2019
285,128,8/14/2019
286,76,6/30/2019
287,139,9/5/2019
288,190,9/10/2019
289,70,10/29/2019
290,100,10/30/2019
291,41,7/24/2019
292,98,11/3/2019
293,192,4/8/2019
294,39,12/2/2019
295,137,12/4/2019
296,170,4/15/2019
297,120,2/26/2019
298,92,6/14/2019
299,183,9/23/2019
300,161,1/28/2020
