Year,Age,Gender,Educational Attainment,Personal Income,Population Count
01/01/2008 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$15,000 to $24,999",70274
01/01/2008 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$25,000 to $34,999",51983
01/01/2008 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$35,000 to $49,999",73084
01/01/2008 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$50,000 to $74,999",82823
01/01/2008 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$75,000 and over",161013
01/01/2008 12:00:00 AM,65 to 80+,Female,No high school diploma,No Income,69280
01/01/2008 12:00:00 AM,65 to 80+,Female,No high school diploma,"$5,000 to $9,999",178234
01/01/2008 12:00:00 AM,65 to 80+,Female,No high school diploma,"$10,000 to $14,999",182135
01/01/2008 12:00:00 AM,65 to 80+,Female,No high school diploma,"$15,000 to $24,999",42275
01/01/2008 12:00:00 AM,65 to 80+,Female,No high school diploma,"$25,000 to $34,999",14645
01/01/2008 12:00:00 AM,65 to 80+,Female,No high school diploma,"$35,000 to $49,999",8109
01/01/2008 12:00:00 AM,65 to 80+,Female,No high school diploma,"$50,000 to $74,999",8297
01/01/2008 12:00:00 AM,65 to 80+,Female,No high school diploma,"$75,000 and over",1981
01/01/2008 12:00:00 AM,65 to 80+,Female,High school or equivalent,No Income,34242
01/01/2008 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$5,000 to $9,999",188067
01/01/2008 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$10,000 to $14,999",156811
01/01/2008 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$15,000 to $24,999",164592
01/01/2008 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$25,000 to $34,999",78590
01/01/2008 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$35,000 to $49,999",34003
01/01/2008 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$50,000 to $74,999",29183
01/01/2008 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$75,000 and over",12086
01/01/2008 12:00:00 AM,65 to 80+,Female,"Some college, less than 4-yr degree",No Income,12954
01/01/2008 12:00:00 AM,65 to 80+,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",93823
01/01/2008 12:00:00 AM,65 to 80+,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",120242
01/01/2008 12:00:00 AM,65 to 80+,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",149462
01/01/2008 12:00:00 AM,65 to 80+,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",73070
01/01/2008 12:00:00 AM,65 to 80+,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",48577
01/01/2008 12:00:00 AM,65 to 80+,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",27158
01/01/2008 12:00:00 AM,65 to 80+,Female,"Some college, less than 4-yr degree","$75,000 and over",35445
01/01/2008 12:00:00 AM,65 to 80+,Female,Bachelor's degree or higher,No Income,12915
01/01/2008 12:00:00 AM,65 to 80+,Female,Bachelor's degree or higher,"$5,000 to $9,999",50596
01/01/2008 12:00:00 AM,65 to 80+,Female,Bachelor's degree or higher,"$10,000 to $14,999",54641
01/01/2008 12:00:00 AM,65 to 80+,Female,Bachelor's degree or higher,"$15,000 to $24,999",42390
01/01/2008 12:00:00 AM,65 to 80+,Female,Bachelor's degree or higher,"$25,000 to $34,999",42705
01/01/2008 12:00:00 AM,65 to 80+,Female,Bachelor's degree or higher,"$35,000 to $49,999",75697
01/01/2008 12:00:00 AM,65 to 80+,Female,Bachelor's degree or higher,"$50,000 to $74,999",64954
01/01/2008 12:00:00 AM,65 to 80+,Female,Bachelor's degree or higher,"$75,000 and over",60942
01/01/2009 12:00:00 AM,00 to 17,Male,Children under 15,No Income,
01/01/2009 12:00:00 AM,00 to 17,Male,No high school diploma,No Income,629969
01/01/2009 12:00:00 AM,00 to 17,Male,No high school diploma,"$5,000 to $9,999",41863
01/01/2009 12:00:00 AM,00 to 17,Male,No high school diploma,"$10,000 to $14,999",7651
01/01/2009 12:00:00 AM,00 to 17,Male,No high school diploma,"$15,000 to $24,999",3222
01/01/2009 12:00:00 AM,00 to 17,Male,No high school diploma,"$25,000 to $34,999",1829
01/01/2009 12:00:00 AM,00 to 17,Male,High school or equivalent,No Income,
01/01/2009 12:00:00 AM,00 to 17,Male,High school or equivalent,"$5,000 to $9,999",1185
01/01/2009 12:00:00 AM,00 to 17,Male,High school or equivalent,"$15,000 to $24,999",2520
01/01/2009 12:00:00 AM,00 to 17,Male,"Some college, less than 4-yr degree",No Income,2887
01/01/2009 12:00:00 AM,00 to 17,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",1117
01/01/2009 12:00:00 AM,00 to 17,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",1878
01/01/2009 12:00:00 AM,00 to 17,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",2754
01/01/2009 12:00:00 AM,00 to 17,Male,Bachelor's degree or higher,No Income,
01/01/2009 12:00:00 AM,00 to 17,Female,Children under 15,No Income,
01/01/2009 12:00:00 AM,00 to 17,Female,No high school diploma,No Income,648149
01/01/2009 12:00:00 AM,00 to 17,Female,No high school diploma,"$5,000 to $9,999",29280
01/01/2009 12:00:00 AM,00 to 17,Female,No high school diploma,"$10,000 to $14,999",11341
01/01/2009 12:00:00 AM,00 to 17,Female,No high school diploma,"$35,000 to $49,999",1800
01/01/2009 12:00:00 AM,00 to 17,Female,No high school diploma,"$50,000 to $74,999",1797
01/01/2009 12:00:00 AM,00 to 17,Female,High school or equivalent,No Income,9209
01/01/2009 12:00:00 AM,00 to 17,Female,High school or equivalent,"$5,000 to $9,999",3169
01/01/2009 12:00:00 AM,00 to 17,Female,High school or equivalent,"$15,000 to $24,999",1294
01/01/2009 12:00:00 AM,00 to 17,Female,"Some college, less than 4-yr degree",No Income,4408
01/01/2009 12:00:00 AM,00 to 17,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",1780
01/01/2009 12:00:00 AM,18 to 64,Male,No high school diploma,No Income,280947
01/01/2009 12:00:00 AM,18 to 64,Male,No high school diploma,"$5,000 to $9,999",229865
01/01/2009 12:00:00 AM,18 to 64,Male,No high school diploma,"$10,000 to $14,999",278224
01/01/2009 12:00:00 AM,18 to 64,Male,No high school diploma,"$15,000 to $24,999",534542
01/01/2009 12:00:00 AM,18 to 64,Male,No high school diploma,"$25,000 to $34,999",307653
01/01/2009 12:00:00 AM,18 to 64,Male,No high school diploma,"$35,000 to $49,999",247159
01/01/2009 12:00:00 AM,18 to 64,Male,No high school diploma,"$50,000 to $74,999",79922
01/01/2009 12:00:00 AM,18 to 64,Male,No high school diploma,"$75,000 and over",48803
01/01/2009 12:00:00 AM,18 to 64,Male,High school or equivalent,No Income,296927
01/01/2009 12:00:00 AM,18 to 64,Male,High school or equivalent,"$5,000 to $9,999",216871
01/01/2009 12:00:00 AM,18 to 64,Male,High school or equivalent,"$10,000 to $14,999",213345
01/01/2009 12:00:00 AM,18 to 64,Male,High school or equivalent,"$15,000 to $24,999",503750
01/01/2009 12:00:00 AM,18 to 64,Male,High school or equivalent,"$25,000 to $34,999",440200
01/01/2009 12:00:00 AM,18 to 64,Male,High school or equivalent,"$35,000 to $49,999",481130
01/01/2009 12:00:00 AM,18 to 64,Male,High school or equivalent,"$50,000 to $74,999",350784
01/01/2009 12:00:00 AM,18 to 64,Male,High school or equivalent,"$75,000 and over",190948
01/01/2009 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree",No Income,212039
01/01/2009 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",235730
01/01/2009 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",288174
01/01/2009 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",392488
01/01/2009 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",375408
01/01/2009 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",486983
01/01/2009 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",584200
01/01/2009 12:00:00 AM,18 to 64,Male,"Some college, less than 4-yr degree","$75,000 and over",521502
01/01/2009 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,No Income,88688
01/01/2009 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$5,000 to $9,999",70367
01/01/2009 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$10,000 to $14,999",84122
01/01/2009 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$15,000 to $24,999",201713
01/01/2009 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$25,000 to $34,999",251200
01/01/2009 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$35,000 to $49,999",366170
01/01/2009 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$50,000 to $74,999",682775
01/01/2009 12:00:00 AM,18 to 64,Male,Bachelor's degree or higher,"$75,000 and over",1497839
01/01/2009 12:00:00 AM,18 to 64,Female,No high school diploma,No Income,654156
01/01/2009 12:00:00 AM,18 to 64,Female,No high school diploma,"$5,000 to $9,999",248027
01/01/2009 12:00:00 AM,18 to 64,Female,No high school diploma,"$10,000 to $14,999",255296
01/01/2009 12:00:00 AM,18 to 64,Female,No high school diploma,"$15,000 to $24,999",359624
01/01/2009 12:00:00 AM,18 to 64,Female,No high school diploma,"$25,000 to $34,999",86580
01/01/2009 12:00:00 AM,18 to 64,Female,No high school diploma,"$35,000 to $49,999",30741
01/01/2009 12:00:00 AM,18 to 64,Female,No high school diploma,"$50,000 to $74,999",24592
01/01/2009 12:00:00 AM,18 to 64,Female,No high school diploma,"$75,000 and over",10943
01/01/2009 12:00:00 AM,18 to 64,Female,High school or equivalent,No Income,519946
01/01/2009 12:00:00 AM,18 to 64,Female,High school or equivalent,"$5,000 to $9,999",234527
01/01/2009 12:00:00 AM,18 to 64,Female,High school or equivalent,"$10,000 to $14,999",221787
01/01/2009 12:00:00 AM,18 to 64,Female,High school or equivalent,"$15,000 to $24,999",450205
01/01/2009 12:00:00 AM,18 to 64,Female,High school or equivalent,"$25,000 to $34,999",318602
01/01/2009 12:00:00 AM,18 to 64,Female,High school or equivalent,"$35,000 to $49,999",234705
01/01/2009 12:00:00 AM,18 to 64,Female,High school or equivalent,"$50,000 to $74,999",134763
01/01/2009 12:00:00 AM,18 to 64,Female,High school or equivalent,"$75,000 and over",57292
01/01/2009 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree",No Income,387007
01/01/2009 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$5,000 to $9,999",345944
01/01/2009 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$10,000 to $14,999",370518
01/01/2009 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$15,000 to $24,999",647024
01/01/2009 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$25,000 to $34,999",454455
01/01/2009 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$35,000 to $49,999",459975
01/01/2009 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$50,000 to $74,999",347119
01/01/2009 12:00:00 AM,18 to 64,Female,"Some college, less than 4-yr degree","$75,000 and over",200198
01/01/2009 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,No Income,243154
01/01/2009 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$5,000 to $9,999",160748
01/01/2009 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$10,000 to $14,999",136360
01/01/2009 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$15,000 to $24,999",311511
01/01/2009 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$25,000 to $34,999",320129
01/01/2009 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$35,000 to $49,999",495664
01/01/2009 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$50,000 to $74,999",767013
01/01/2009 12:00:00 AM,18 to 64,Female,Bachelor's degree or higher,"$75,000 and over",682401
01/01/2009 12:00:00 AM,65 to 80+,Male,No high school diploma,No Income,18196
01/01/2009 12:00:00 AM,65 to 80+,Male,No high school diploma,"$5,000 to $9,999",71415
01/01/2009 12:00:00 AM,65 to 80+,Male,No high school diploma,"$10,000 to $14,999",98666
01/01/2009 12:00:00 AM,65 to 80+,Male,No high school diploma,"$15,000 to $24,999",72908
01/01/2009 12:00:00 AM,65 to 80+,Male,No high school diploma,"$25,000 to $34,999",41437
01/01/2009 12:00:00 AM,65 to 80+,Male,No high school diploma,"$35,000 to $49,999",24599
01/01/2009 12:00:00 AM,65 to 80+,Male,No high school diploma,"$50,000 to $74,999",18475
01/01/2009 12:00:00 AM,65 to 80+,Male,No high school diploma,"$75,000 and over",2915
01/01/2009 12:00:00 AM,65 to 80+,Male,High school or equivalent,No Income,11528
01/01/2009 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$5,000 to $9,999",37770
01/01/2009 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$10,000 to $14,999",71193
01/01/2009 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$15,000 to $24,999",64082
01/01/2009 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$25,000 to $34,999",50987
01/01/2009 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$35,000 to $49,999",59302
01/01/2009 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$50,000 to $74,999",35227
01/01/2009 12:00:00 AM,65 to 80+,Male,High school or equivalent,"$75,000 and over",23963
01/01/2009 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree",No Income,17061
01/01/2009 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$5,000 to $9,999",23224
01/01/2009 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$10,000 to $14,999",30456
01/01/2009 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$15,000 to $24,999",88779
01/01/2009 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$25,000 to $34,999",55910
01/01/2009 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$35,000 to $49,999",69546
01/01/2009 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$50,000 to $74,999",39410
01/01/2009 12:00:00 AM,65 to 80+,Male,"Some college, less than 4-yr degree","$75,000 and over",58478
01/01/2009 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,No Income,6660
01/01/2009 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$5,000 to $9,999",34492
01/01/2009 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$10,000 to $14,999",36484
01/01/2009 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$15,000 to $24,999",52607
01/01/2009 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$25,000 to $34,999",76215
01/01/2009 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$35,000 to $49,999",77792
01/01/2009 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$50,000 to $74,999",109490
01/01/2009 12:00:00 AM,65 to 80+,Male,Bachelor's degree or higher,"$75,000 and over",212440
01/01/2009 12:00:00 AM,65 to 80+,Female,No high school diploma,No Income,73024
01/01/2009 12:00:00 AM,65 to 80+,Female,No high school diploma,"$5,000 to $9,999",178289
01/01/2009 12:00:00 AM,65 to 80+,Female,No high school diploma,"$10,000 to $14,999",149933
01/01/2009 12:00:00 AM,65 to 80+,Female,No high school diploma,"$15,000 to $24,999",64958
01/01/2009 12:00:00 AM,65 to 80+,Female,No high school diploma,"$25,000 to $34,999",20186
01/01/2009 12:00:00 AM,65 to 80+,Female,No high school diploma,"$35,000 to $49,999",4060
01/01/2009 12:00:00 AM,65 to 80+,Female,No high school diploma,"$50,000 to $74,999",7703
01/01/2009 12:00:00 AM,65 to 80+,Female,No high school diploma,"$75,000 and over",1398
01/01/2009 12:00:00 AM,65 to 80+,Female,High school or equivalent,No Income,43907
01/01/2009 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$5,000 to $9,999",116176
01/01/2009 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$10,000 to $14,999",151357
01/01/2009 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$15,000 to $24,999",152036
01/01/2009 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$25,000 to $34,999",58811
01/01/2009 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$35,000 to $49,999",27349
01/01/2009 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$50,000 to $74,999",42710
01/01/2009 12:00:00 AM,65 to 80+,Female,High school or equivalent,"$75,000 and over",19659
